Time	 FAIRTEN1	 FAIRTEN2	 FAIRTEN3	 ANCHTEN1	 ANCHTEN2	 ANCHTEN3	 
30.7	 73.0327	 45.7391	 45.7391	 73.0257	 45.7263	 45.7263	 
30.8	 73.0283	 45.7431	 45.7431	 73.0222	 45.7295	 45.7295	 
30.9	 73.0468	 45.7267	 45.7267	 73.0379	 45.7153	 45.7153	 
31	 73.0666	 45.7098	 45.7098	 73.0578	 45.6983	 45.6983	 
31.1	 73.0802	 45.7001	 45.7001	 73.0715	 45.6886	 45.6886	 
31.2	 73.0882	 45.6953	 45.6953	 73.0795	 45.6838	 45.6838	 
31.3	 73.089	 45.694	 45.694	 73.0799	 45.6827	 45.6827	 
31.4	 73.0778	 45.7012	 45.7012	 73.0675	 45.6909	 45.6909	 
31.5	 73.0526	 45.7213	 45.7213	 73.0448	 45.7091	 45.7091	 
31.6	 73.0351	 45.737	 45.737	 73.0267	 45.7253	 45.7253	 
31.7	 73.0289	 45.7426	 45.7426	 73.0218	 45.7298	 45.7298	 
31.8	 73.0459	 45.7275	 45.7275	 73.0368	 45.7163	 45.7163	 
31.9	 73.0654	 45.7108	 45.7108	 73.0564	 45.6995	 45.6995	 
32	 73.0801	 45.7001	 45.7001	 73.0707	 45.6891	 45.6891	 
32.1	 73.0866	 45.6965	 45.6965	 73.0788	 45.6842	 45.6842	 
32.2	 73.0891	 45.6939	 45.6939	 73.0799	 45.6827	 45.6827	 
32.3	 73.0773	 45.7017	 45.7017	 73.0689	 45.6898	 45.6898	 
32.4	 73.054	 45.7201	 45.7201	 73.0466	 45.7075	 45.7075	 
32.5	 73.0347	 45.7372	 45.7372	 73.0285	 45.7237	 45.7237	 
32.6	 73.0283	 45.743	 45.743	 73.0226	 45.7291	 45.7291	 
32.7	 73.0437	 45.7293	 45.7293	 73.0362	 45.7168	 45.7168	 
32.8	 73.0639	 45.712	 45.712	 73.0555	 45.7002	 45.7002	 
